code,expired_date,status
MAPIARF,1-Feb-2023,หมดอายุ
MAPUN1V,1-Mar-2023,หมดอายุ
MAPW7QQ,1-Apr-2023,หมดอายุ
MAP9UW0,1-May-2023,หมดอายุ
MAPN6BI,1-Jun-2023,หมดอายุ
MAP77P8,1-Jul-2023,หมดอายุ
MAP2WD6,1-Aug-2023,หมดอายุ
MAP64WI,1-Sep-2023,หมดอายุ
MAPKUU7,1-Oct-2023,หมดอายุ
MAP4GOE,1-Nov-2023,หมดอายุ
MAPA44Q,1-Dec-2023,หมดอายุ
MAPFEJ0,1-Jan-2024,หมดอายุ
MAPWZ6E,1-Feb-2024,หมดอายุ
MAPNDIH,1-Mar-2024,หมดอายุ
MAPSE53,1-Apr-2024,หมดอายุ
MAPAYXF,1-May-2024,หมดอายุ
MAPGPES,1-Jun-2024,หมดอายุ
MAPT44B,1-Jul-2024,หมดอายุ
MAP4I05,1-Aug-2024,หมดอายุ
MAPA7OS,1-Sep-2024,หมดอายุ
MAPHGQG,1-Oct-2024,หมดอายุ
MAPPAPW,1-Nov-2024,หมดอายุ
MAPWXEC,1-Dec-2024,หมดอายุ
MAPURBZ,1-Jan-2025,หมดอายุ
MAPTFCL,1-Feb-2025,หมดอายุ
MAPPP4D,1-Mar-2025,หมดอายุ
MAPJE17,1-Apr-2025,หมดอายุ
MAPQCZ7,1-May-2025,หมดอายุ
MAP5AEM,1-Jun-2025,หมดอายุ
MAPYQXH,1-Jul-2025,หมดอายุ
MAPXAKP,1-Aug-2025,หมดอายุ
MAPHGU2,1-Sep-2025,หมดอายุ
MAPXF2L,1-Oct-2025,หมดอายุ
MAPQRZ4,1-Nov-2025,หมดอายุ
MAP3UV9,1-Dec-2025,หมดอายุ
MAPAD9X,1-Jan-2026,หมดอายุ
DEV5eMLPfK0wU,สำหรับทดสอบ,ไม่หมดอายุ
influQ4wI8lEl9s,สำหรับทดสอบ,ไม่หมดอายุ
influsD6iPL3C1c,สำหรับทดสอบ,ไม่หมดอายุ
influAJ19j0hgyI,สำหรับทดสอบ,ไม่หมดอายุ
influvxCpRpg56E,สำหรับทดสอบ,ไม่หมดอายุ
